customer_id,transaction_date,city,customers,purchase
33,2023-08-17,Tangerang,casual,700
18,2023-12-30,Tangerang,casual,910
47,2023-07-19,Depok,member,920
40,2023-06-10,Tangerang,member,780
33,2023-03-10,Tangerang,casual,755
3,2023-07-29,Jakarta,member,1145
12,2023-10-17,Tangerang,casual,810
40,2023-12-01,Bekasi,member,720
41,2023-11-12,Bogor,member,635
36,2023-08-20,Jakarta,casual,860
48,2023-06-09,Jakarta,member,835
31,2023-11-01,Bogor,member,900
50,2023-04-26,Tangerang,member,790
42,2023-02-06,Bogor,member,1095
32,2023-05-15,Depok,member,865
29,2023-10-25,Bekasi,casual,830
5,2023-03-15,Bogor,member,830
45,2023-03-09,Depok,casual,900
20,2023-02-06,Tangerang,casual,955
27,2023-12-21,Bogor,member,870
31,2023-03-06,Jakarta,member,715
50,2023-01-31,Bekasi,casual,1005
27,2023-08-08,Jakarta,casual,880
18,2023-01-15,Bogor,casual,820
15,2023-09-21,Jakarta,casual,910
32,2023-05-15,Depok,casual,805
15,2023-02-20,Tangerang,casual,805
36,2023-09-27,Jakarta,member,870
25,2023-04-27,Depok,casual,845
26,2023-08-14,Bogor,casual,885
23,2023-04-30,Bekasi,member,905
32,2023-08-26,Depok,member,845
15,2023-01-24,Tangerang,casual,895
11,2023-06-11,Tangerang,casual,935
32,2023-08-04,Depok,member,740
7,2023-05-22,Bekasi,casual,935
11,2023-06-12,Depok,member,765
50,2023-04-09,Depok,member,775
24,2023-12-08,Jakarta,member,925
38,2023-05-03,Bekasi,member,845
5,2023-02-06,Jakarta,casual,905
38,2023-02-01,Tangerang,casual,890
17,2023-01-29,Depok,member,815
18,2023-01-20,Bogor,member,810
8,2023-10-17,Depok,casual,870
11,2023-07-27,Tangerang,casual,815
25,2023-09-24,Bogor,member,950
26,2023-01-07,Bogor,member,900
36,2023-11-18,Tangerang,casual,980
45,2023-01-07,Tangerang,member,805
41,2023-07-08,Tangerang,casual,830
46,2023-05-01,Depok,member,845
16,2023-06-05,Tangerang,casual,825
1,2023-09-03,Bekasi,member,925
11,2023-06-13,Bogor,casual,845
27,2023-11-06,Tangerang,casual,755
23,2023-01-10,Jakarta,member,750
44,2023-03-24,Depok,casual,925
16,2023-07-15,Depok,casual,610
17,2023-02-28,Jakarta,casual,820
5,2023-07-08,Bogor,casual,920
25,2023-04-24,Depok,member,835
40,2023-06-01,Tangerang,member,800
15,2023-07-13,Bogor,casual,1010
14,2023-05-11,Tangerang,member,805
40,2023-11-30,Bekasi,member,980
13,2023-10-25,Bogor,member,1010
27,2023-12-16,Jakarta,member,785
18,2023-08-08,Bekasi,casual,950
36,2023-08-17,Bekasi,casual,1000
36,2023-04-17,Depok,casual,755
20,2023-06-23,Bogor,casual,835
36,2023-05-22,Jakarta,member,730
24,2023-08-24,Tangerang,casual,870
40,2023-10-30,Jakarta,member,875
50,2023-10-20,Jakarta,member,850
4,2023-02-19,Bogor,member,855
11,2023-08-07,Jakarta,member,825
40,2023-05-28,Depok,member,845
34,2023-12-15,Depok,member,890
24,2023-09-23,Depok,casual,910
26,2023-03-16,Bekasi,member,805
16,2023-01-02,Bogor,casual,640
5,2023-02-22,Bekasi,member,820
3,2023-04-18,Tangerang,casual,905
9,2023-12-16,Depok,casual,1000
11,2023-09-25,Bogor,member,655
16,2023-08-13,Tangerang,casual,995
33,2023-09-26,Jakarta,casual,1045
